referrer,numparticipants,expgender,exprace,exprunafter,compensation,recruitment,separatedornot,age,sample,Sysjust,MoneyGroup,citizenship,gender,nativelang,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,moneypriorder
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,4.125,0,MY,1,other,4,2,3,6,3,7,5,3,5
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.125,1,MY,1,other,2,1,1,2,2,6,1,2,3
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3,1,MY,0,english,2,1,5,5,3,3,2,3,1
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,27,6,1.875,0,MY,0,english,5,1,2,2,1,1,1,2,8
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.75,0,MV,1,other,5,2,4,1,5,3,5,5,1
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,12,6,2.875,0,US,0,english,4,1,2,3,3,5,3,2,2
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.625,1,MY,1,other,4,2,2,5,1,4,5,6,1
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.375,0,MY,1,other,2,2,2,3,1,1,2,6,6
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2.5,0,MY,1,other,2,1,2,1,1,6,4,3,3
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.5,0,MY,1,english,2,1,1,3,2,4,1,6,6
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2,1,MY,0,english,2,1,1,5,1,1,3,2,6
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2.375,1,MY,0,other,3,1,1,2,3,6,1,2,11
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.625,0,MY,1,english,3,3,3,5,4,3,3,5,1
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.5,1,MY,1,other,,,2,4,3,6,2,4,2
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.5,1,MY,1,english,3,3,3,4,4,3,3,5,2
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.375,1,MY,1,english,2,2,2,1,3,1,6,2,8
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,2.875,1,MY,1,malay,2,3,2,5,2,3,2,4,2
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2.714285714,0,BN,0,malay,4,,2,2,3,2,1,5,7
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,,6,3.75,1,.,1,.,3,2,3,4,3,6,2,7,5
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,3.75,0,MY,0,english,5,2,7,4,3,2,4,3,11
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.75,1,MY,0,other,1,1,4,5,4,1,5,1,1
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,1.875,1,MY,0,english,2,1,1,1,4,1,4,1,9
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.75,0,MY,1,english,2,2,1,6,6,2,2,1,6
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,1.875,1,MY,1,other,2,1,3,1,1,4,1,2,9
help,1,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.5,0,MY,1,other,3,7,2,4,7,1,1,3,5
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.5,0,MY,1,other,2,2,3,4,5,6,3,3,3
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3,0,MY,1,other,2,3,1,4,3,6,3,2,11
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.625,1,MY,1,other,7,1,1,5,4,5,4,2,7
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2.375,1,MY,1,other,2,1,5,3,4,1,2,1,9
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3,0,MY,0,english,2,2,2,4,5,4,2,3,9
